No,Site,Year,Sex,Ageclass,P8,P9,Retrix
1,Chilkat,1999,Male,YOY,151,145,121
2,Chilkat,1999,Female,AD,144,137,116
3,Chilkat,1999,Male,AD,143,135,121
4,Chilkat,1999,Male,YOY,148,136,119
5,Chilkat,1999,Male,YOY,149,145,122
6,Chilkat,1999,Male,YOY,151,139,123
7,Chilkat,1999,Female,YOY,145,132,113
8,Chilkat,1999,Male,AD,160,152,124
9,Chilkat,1999,Male,AD,155,152,122
10,Chilkat,1999,Male,YOY,157,159,128
11,Chilkat,1999,Female,AD,149,144,127
12,Chilkat,1999,Female,AD,147,149,116
13,Chilkat,1999,Male,YOY,152,136,118
14,Chilkat,1999,Female,AD,140,153,114
15,Chilkat,1999,Male,YOY,157,147,134
16,Chilkat,1999,Male,AD,143,151,116
17,Chilkat,1999,Male,YOY,153,139,114
18,Chilkat,1999,Female,YOY,141,141,128
19,Chilkat,1999,Male,YOY,146,146,126
20,Chilkat,1999,Male,AD,149,146,119
21,Chilkat,1999,Male,YOY,148,141,122
22,Chilkat,1999,Male,YOY,159,154,131
23,Kluane,1999,Female,YOY,140,130,109
24,Kluane,1999,Male,YOY,153,144,120
25,Kluane,1999,Female,YOY,142,132,120
26,Kluane,1999,Female,YOY,148,144,118
27,Kluane,1999,Male,AD,151,131,123
28,Kluane,1999,Female,YOY,140,139,113
29,Kluane,1999,Female,YOY,138,130,108
30,Kluane,1999,Male,AD,153,147,130
31,Kluane,1999,Male,YOY,144,135,119
32,Kluane,1999,Male,YOY,150,141,121
33,Kluane,1999,Male,YOY,150,137,120
34,Kluane,1999,Female,YOY,142,138,112
35,Kluane,1999,Female,YOY,140,136,110
36,Kluane,1999,Male,AD,161,153,130
37,Kluane,1999,Female,YOY,144,132,112
38,Kluane,1999,Female,AD,151,142,111
39,Kluane,1999,Female,YOY,153,145,120
40,Kluane,1999,Female,AD,154,146,115
41,Kluane,1999,Female,YOY,142,133,111
42,Kluane,1999,Female,YOY,141,133,111
43,Kluane,1999,Female,YOY,145,136,106
44,Kluane,1999,Female,YOY,153,139,115
45,Kluane,1999,Male,AD,145,139,113
46,Kluane,1999,Female,YOY,141,136,109
47,Kluane,1999,Female,YOY,147,141,115
48,Kluane,1999,Female,YOY,148,141,115
49,Kluane,1999,Female,YOY,138,138,108
50,Kluane,1999,Male,YOY,145,139,117
51,Kluane,1999,Male,YOY,156,152,130
52,Kluane,1999,Female,YOY,150,143,115
53,Kluane,1999,Female,YOY,144,136,113
54,Kluane,1999,Male,YOY,152,140,121
55,Kluane,1999,Female,AD,138,145,112
56,Kluane,1999,Female,YOY,144,130,105
57,Kluane,1999,Female,YOY,147,139,104
58,Kluane,1999,Female,YOY,140,111,116
59,Kluane,1999,Male,YOY,150,140,120
60,Kluane,1999,Male,AD,166,155,130
61,Kluane,1999,Male,AD,146,141,108
62,Kluane,1999,Female,AD,152,146,126
63,Kluane,1999,Female,YOY,144,130,104
64,Kluane,1999,Male,AD,159,143,129
65,Kluane,1999,Male,YOY,154,144,119
66,Kluane,1999,Female,YOY,155,144,118
67,Kluane,1999,Female,YOY,146,141,114
68,Kluane,1999,Female,YOY,147,139,109
69,Kluane,1999,Male,YOY,161,148,120
70,Kluane,1999,Male,AD,150,131,123
71,Kluane,1999,Male,YOY,156,151,124
72,Kluane,1999,Female,YOY,148,138,115
73,Kluane,1999,Female,YOY,139,137,113
74,Kluane,1999,Female,YOY,146,136,110
75,Kluane,1999,Female,YOY,153,141,120
76,Kluane,1999,Female,YOY,150,141,116
77,Kluane,1999,Female,YOY,145,135,118
78,Kluane,1999,Male,YOY,155,145,115
79,Kluane,1999,Female,AD,145,138,118
80,Kluane,1999,Female,YOY,149,137,107
81,Kluane,1999,Male,AD,156,148,127
82,Kluane,1999,Female,YOY,141,135,109
83,Kluane,1999,Female,YOY,147,138,113
84,Kluane,1999,Male,YOY,158,140,124
85,Kluane,1999,Male,YOY,151,144,124
86,Kluane,1999,Female,AD,145,138,116
87,Kluane,1999,Female,YOY,153,139,119
88,Kluane,1999,Male,YOY,153,146,124
89,Kluane,1999,Female,YOY,146,130,117
90,Kluane,1999,Female,AD,145,136,113
91,Chilkat,1999,Female,AD,151,147,117
92,Chilkat,1999,Male,AD,155,141,118
93,Chilkat,1999,Female,AD,149,139,113
94,Chilkat,1999,Male,YOY,166,165,130
95,Chilkat,1999,Male,AD,149,146,119
96,Chilkat,1999,Male,AD,160,154,129
97,Chilkat,1999,Male,YOY,151,146,123
98,Chilkat,1999,Male,AD,149,139,125
99,Chilkat,1999,Male,YOY,152,144,123
100,Chilkat,1999,Male,AD,148,158,131
101,Chilkat,1999,Male,YOY,159,152,126
102,Chilkat,1999,Male,YOY,160,145,129
103,Chilkat,1999,Male,AD,151,146,133
104,Chilkat,1999,Male,AD,150,142,123
105,Chilkat,1999,Male,AD,151,151,129
106,Chilkat,1999,Female,AD,144,138,111
107,Chilkat,1999,Male,YOY,152,144,118
108,Chilkat,1999,Male,AD,159,148,129
109,Chilkat,1999,Male,AD,156,151,122
110,Chilkat,1999,Female,AD,148,142,118
111,Chilkat,1999,Male,AD,142,133,117
112,Chilkat,1999,Male,AD,161,151,123
113,Chilkat,1999,Male,AD,153,151,124
114,Chilkat,1999,Male,YOY,156,140,129
115,Chilkat,1999,Female,YOY,144,132,113
116,Chilkat,1999,Male,YOY,150,132,122
117,Chilkat,1999,Male,YOY,148,144,119
118,Chilkat,1999,Male,YOY,133,149,120
119,Chilkat,1999,Female,AD,144,137,114
120,Chilkat,1999,Male,YOY,151,145,119
121,Chilkat,1999,Male,YOY,147,134,119
122,Chilkat,1999,Male,YOY,161,154,128
123,Chilkat,1999,Male,AD,158,151,125
124,Chilkat,1999,Male,YOY,143,143,125
125,Chilkat,1999,Male,AD,151,146,129
126,Chilkat,1999,Male,YOY,148,145,131
127,Chilkat,1999,Male,AD,153,148,129
128,Chilkat,1999,Male,AD,151,146,122
129,Chilkat,1999,Male,YOY,142,129,116
130,Kluane,2000,Female,YOY,154,144,125
131,Kluane,2000,Male,YOY,150,148,132
132,Kluane,2000,Female,YOY,158,151,127
133,Kluane,2000,Male,YOY,158,156,126
134,Kluane,2000,Female,YOY,144,139,111
135,Kluane,2000,Male,YOY,156,147,128
136,Kluane,2000,Male,AD,156,152,127
137,Kluane,2000,Female,YOY,145,139,109
138,Kluane,2000,Female,AD,153,147,127
139,Kluane,2000,Male,YOY,155,145,124
140,Kluane,2000,Male,YOY,150,144,120
141,Kluane,2000,Female,YOY,147,136,115
142,Kluane,2000,Female,YOY,150,138,114
143,Kluane,2000,Male,YOY,164,150,126
144,Kluane,2000,Female,YOY,150,142,120
145,Kluane,2000,Female,YOY,149,141,120
146,Kluane,2000,Female,YOY,160,153,122
147,Kluane,2000,Male,YOY,153,146,129
148,Kluane,2000,Female,YOY,154,143,125
149,Kluane,2000,Female,YOY,151,134,113
150,Kluane,2000,Female,AD,142,130,104
151,Kluane,2000,Female,YOY,146,141,118
152,Kluane,2000,Female,YOY,143,135,113
153,Kluane,2000,Female,YOY,153,146,118
154,Kluane,2000,Female,YOY,146,143,112
155,Kluane,2000,Male,AD,146,135,108
156,Kluane,2000,Female,YOY,149,143,124
157,Kluane,2000,Male,AD,147,135,111
158,Kluane,2000,Male,YOY,157,140,129
159,Kluane,2000,Female,AD,140,138,110
160,Kluane,2000,Male,AD,150,141,123
161,Kluane,2000,Female,AD,151,140,112
162,Kluane,2000,Male,AD,157,150,133
163,Kluane,2000,Male,AD,150,142,118
164,Kluane,2000,Male,YOY,156,142,125
165,Kluane,2000,Female,YOY,140,131,110
166,Kluane,2000,Female,AD,139,135,110
167,Kluane,2000,Female,YOY,141,131,112
168,Kluane,2000,Female,YOY,145,141,114
169,Kluane,2000,Male,AD,152,156,124
170,Kluane,2000,Female,YOY,144,136,115
171,Kluane,2000,Female,AD,142,134,115
172,Kluane,2000,Female,AD,152,130,117
173,Kluane,2000,Male,YOY,154,135,130
174,Kluane,2000,Female,YOY,146,130,116
175,Chilkat,2000,Female,AD,148,145,117
176,Chilkat,2000,Female,YOY,147,141,117
177,Chilkat,2000,Female,YOY,151,138,112
178,Chilkat,2000,Male,YOY,148,141,122
179,Chilkat,2000,Female,YOY,141,132,116
180,Chilkat,2000,Female,YOY,145,134,114
181,Chilkat,2000,Female,YOY,143,137,117
182,Chilkat,2000,Male,YOY,151,156,128
183,Chilkat,2000,Male,AD,147,145,118
184,Chilkat,2000,Female,YOY,151,143,125
185,Chilkat,2000,Female,YOY,145,135,106
186,Chilkat,2000,Female,YOY,149,139,114
187,Chilkat,2000,Female,YOY,145,136,118
188,Chilkat,2000,Female,YOY,142,139,116
189,Chilkat,2000,Female,YOY,149,144,112
190,Chilkat,2000,Female,YOY,150,135,115
191,Chilkat,2000,Female,YOY,140,130,111
192,Chilkat,2000,Female,AD,150,141,118
193,Chilkat,2000,Female,YOY,151,140,109
194,Chilkat,2000,Male,AD,157,148,128
195,Chilkat,2000,Female,AD,157,143,116
196,Chilkat,2000,Male,YOY,155,145,124
197,Chilkat,2000,Female,AD,151,145,122
198,Chilkat,2000,Male,YOY,155,145,115
199,Chilkat,2000,Male,AD,151,144,107
200,Chilkat,2000,Female,YOY,152,142,119
201,Chilkat,2000,Male,AD,167,159,129
202,Chilkat,2000,Female,YOY,142,139,105
203,Chilkat,2000,Female,YOY,145,135,109
204,Kluane,2000,Male,AD,162,147,130
205,Kluane,2000,Female,YOY,142,133,110
206,Kluane,2000,Male,AD,147,146,134
207,Kluane,2000,Male,AD,155,146,123
208,Kluane,2000,Female,AD,149,136,115
209,Kluane,2000,Female,AD,141,148,112
210,Kluane,2000,Female,AD,149,144,123
211,Kluane,2000,Female,AD,154,142,135
212,Kluane,2000,Male,AD,165,161,133
213,Kluane,2000,Male,AD,158,149,137
214,Kluane,2000,Male,AD,160,151,127
215,Kluane,2000,Female,YOY,154,147,138
216,Kluane,2000,Female,AD,151,144,125
217,Kluane,2000,Male,AD,152,150,130
218,Kluane,2000,Female,AD,144,135,114
219,Kluane,2000,Female,AD,151,134,122
220,Kluane,2000,Female,AD,144,142,116
221,Kluane,2000,Female,AD,158,151,124
222,Kluane,2000,Female,YOY,141,128,102
223,Kluane,2000,Male,AD,148,140,116
224,Kluane,2000,Male,YOY,148,134,116
225,Kluane,2000,Male,YOY,151,142,123
226,Kluane,2000,Female,AD,149,141,122
227,Kluane,2000,Female,AD,147,139,114
228,Kluane,2000,Female,AD,148,146,117
229,Kluane,2000,Female,AD,146,135,115
230,Kluane,2000,Male,YOY,143,134,114
231,Kluane,2000,Female,YOY,154,143,117
232,Kluane,2000,Male,YOY,152,138,112
233,Kluane,2000,Male,AD,159,150,128
234,Kluane,2000,Female,AD,145,135,115
235,Kluane,2000,Male,YOY,155,143,120
236,Kluane,2000,Female,AD,154,150,125
237,Kluane,2000,Female,AD,142,133,111
238,Kluane,2000,Female,AD,148,141,121
239,Kluane,2000,Female,AD,154,145,113
240,Kluane,2000,Female,AD,146,142,115
241,Kluane,2000,Male,AD,162,149,136
242,Kluane,2000,Female,YOY,155,142,118
243,Chilkat,2000,Female,YOY,150,142,116
244,Chilkat,2000,Female,AD,161,152,130
245,Chilkat,2000,Female,AD,149,144,122
246,Chilkat,2000,Male,AD,140,132,110
247,Chilkat,2000,Male,YOY,156,146,125
248,Chilkat,2000,Female,YOY,143,146,121
249,Chilkat,2000,Male,AD,147,136,116
250,Chilkat,2000,Female,YOY,150,140,117
251,Chilkat,2000,Female,AD,156,149,130
252,Chilkat,2000,Female,AD,148,142,113
253,Chilkat,2000,Female,YOY,146,139,109
254,Chilkat,2000,Female,YOY,141,134,117
255,Chilkat,2000,Male,AD,169,162,142
256,Chilkat,2000,Male,AD,157,149,127
257,Chilkat,2000,Male,YOY,146,139,110
258,Chilkat,2000,Female,AD,150,142,116
259,Chilkat,2000,Female,YOY,152,140,128
260,Chilkat,2000,Female,AD,154,147,116
261,Chilkat,2000,Male,AD,150,144,111
262,Chilkat,2000,Female,AD,156,145,118
263,Chilkat,2000,Female,AD,158,149,129
264,Chilkat,2000,Female,AD,154,145,120
265,Chilkat,2000,Male,AD,149,145,121
266,Chilkat,2000,Female,AD,141,140,117
267,Chilkat,2000,Female,AD,140,138,110
268,Chilkat,2000,Male,AD,148,143,115
269,Chilkat,2000,Female,YOY,147,128,114
270,Chilkat,2000,Male,AD,162,150,125
271,Chilkat,2000,Female,YOY,145,131,126
272,Chilkat,2000,Male,YOY,157,148,116
273,Chilkat,2000,Female,YOY,154,146,120
274,Chilkat,2000,Male,YOY,155,143,119
275,Chilkat,2000,Female,YOY,155,138,112
276,Chilkat,2000,Female,YOY,151,142,113
277,Chilkat,2000,Female,YOY,146,136,107
278,Chilkat,2000,Female,YOY,153,143,114
279,Chilkat,2001,Male,YOY,149,134,113
280,Chilkat,2001,Male,YOY,144,135,109
281,Chilkat,2001,Male,YOY,163,149,121
282,Chilkat,2001,Female,YOY,143,136,108
283,Chilkat,2001,Male,AD,170,161,136
284,Chilkat,2001,Male,YOY,153,146,121
285,Chilkat,2001,Female,AD,154,144,126
286,Chilkat,2001,Male,YOY,140,152,124
287,Chilkat,2001,Female,AD,146,141,118
288,Chilkat,2001,Female,YOY,143,134,110
289,Chilkat,2001,Male,YOY,162,145,123
290,Chilkat,2001,Male,YOY,142,137,101
291,Chilkat,2001,Male,AD,160,146,122
292,Chilkat,2001,Male,AD,152,144,119
293,Chilkat,2001,Female,YOY,140,129,108
294,Chilkat,2001,Male,YOY,144,136,115
295,Chilkat,2001,Female,AD,149,140,115
296,Chilkat,2001,Female,YOY,147,137,107
297,Chilkat,2001,Female,AD,151,145,114
298,Chilkat,2001,Male,YOY,139,135,121
299,Chilkat,2001,Male,AD,159,158,135
300,Chilkat,2001,Male,AD,160,147,123
301,Chilkat,2001,Female,YOY,149,136,114
302,Chilkat,2001,Female,AD,149,143,114
303,Chilkat,2001,Male,YOY,149,143,119
304,Chilkat,2001,Male,AD,161,153,130
305,Chilkat,2001,Female,AD,154,144,123
306,Chilkat,2001,Male,YOY,145,129,110
307,Chilkat,2001,Female,AD,146,143,123
308,Chilkat,2001,Male,YOY,149,147,129
309,Chilkat,2001,Male,YOY,148,146,119
310,Chilkat,2001,Male,YOY,137,125,116
311,Chilkat,2001,Male,YOY,158,146,129
312,Chilkat,2001,Female,AD,148,139,134
313,Chilkat,2001,Female,YOY,142,133,108
314,Chilkat,2001,Female,AD,146,137,112
315,Kluane,2001,Male,YOY,139,142,110
316,Kluane,2001,Male,YOY,155,141,116
317,Kluane,2001,Female,YOY,131,143,107
318,Kluane,2001,Male,YOY,160,143,121
319,Kluane,2001,Male,YOY,144,155,118
320,Kluane,2001,Male,YOY,150,147,122
321,Kluane,2001,Male,AD,157,150,131
322,Kluane,2001,Male,AD,145,154,126
323,Kluane,2001,Male,AD,142,152,120
324,Kluane,2001,Female,AD,128,148,117
325,Kluane,2001,Male,YOY,151,142,119
326,Kluane,2001,Female,YOY,142,136,111
327,Kluane,2001,Female,YOY,143,141,102
328,Kluane,2001,Female,YOY,134,143,114
329,Kluane,2001,Female,YOY,135,144,113
330,Kluane,2001,Male,YOY,160,144,120
331,Kluane,2001,Male,AD,152,161,130
332,Kluane,2001,Male,YOY,131,130,105
333,Kluane,2001,Female,YOY,137,150,104
334,Kluane,2001,Male,YOY,141,153,120
335,Kluane,2001,Male,YOY,151,159,131
336,Kluane,2001,Female,YOY,143,153,124
337,Kluane,2001,Male,YOY,146,151,128
338,Kluane,2001,Male,YOY,141,138,118
339,Kluane,2001,Male,AD,162,161,135
340,Kluane,2001,Male,YOY,156,141,112
341,Kluane,2001,Male,AD,151,148,133
342,Kluane,2001,Female,YOY,140,144,112
343,Kluane,2001,Female,AD,148,145,113
344,Kluane,2001,Male,YOY,137,149,123
345,Kluane,2001,Male,YOY,152,148,128
346,Kluane,2001,Female,AD,144,131,113
347,Kluane,2001,Male,YOY,153,144,130
348,Kluane,2001,Male,YOY,145,142,123
349,Kluane,2001,Female,YOY,146,139,109
350,Kluane,2001,Male,YOY,151,136,115
351,Kluane,2001,Female,YOY,146,135,114
352,Kluane,2001,Male,YOY,158,147,119
353,Kluane,2001,Female,YOY,136,141,113
354,Kluane,2001,Female,YOY,115,113,149
355,Kluane,2001,Female,AD,123,122,156
356,Kluane,2001,Female,AD,116,114,155
357,Kluane,2001,Female,AD,131,130,165
358,Kluane,2001,Male,YOY,135,130,150
359,Kluane,2001,Female,AD,125,120,145
360,Kluane,2001,Female,AD,115,116,140
361,Kluane,2001,Female,AD,118,116,140
362,Kluane,2001,Female,YOY,114,113,144
363,Kluane,2001,Female,YOY,110,112,145
364,Kluane,2001,Male,AD,131,126,168
365,Kluane,2001,Male,YOY,110,112,128
366,Kluane,2001,Male,AD,134,112,151
367,Kluane,2001,Female,AD,130,129,152
368,Kluane,2001,Male,AD,120,119,141
369,Kluane,2001,Male,AD,131,129,142
370,Kluane,2001,Female,YOY,105,104,146
371,Kluane,2001,Female,AD,116,115,146
372,Kluane,2001,Female,AD,127,124,163
373,Kluane,2001,Female,YOY,117,115,145
374,Kluane,2001,Female,AD,125,124,161
375,Kluane,2001,Female,AD,117,116,142
376,Kluane,2001,Female,AD,119,118,144
377,Kluane,2001,Male,YOY,114,112,149
378,Kluane,2001,Female,AD,121,123,152
379,Kluane,2001,Female,AD,129,128,149
380,Kluane,2001,Female,AD,125,123,165
381,Kluane,2001,Female,YOY,115,114,139
382,Kluane,2001,Female,YOY,109,106,146
383,Kluane,2001,Female,YOY,109,107,146
384,Kluane,2001,Female,YOY,125,123,152
385,Kluane,2001,Male,YOY,117,116,142
386,Kluane,2001,Female,AD,117,116,150
387,Kluane,2001,Male,AD,133,132,167
388,Kluane,2001,Female,YOY,114,113,135
389,Kluane,2001,Female,YOY,113,111,141
390,Kluane,2001,Female,YOY,112,108,144
391,Kluane,2001,Male,AD,136,133,171
392,Kluane,2001,Female,YOY,111,110,144
393,Chilkat,2001,Male,AD,164,151,119
394,Chilkat,2001,Male,AD,162,149,124
395,Chilkat,2001,Male,AD,146,151,118
396,Chilkat,2001,Female,AD,153,142,118
397,Chilkat,2001,Male,YOY,152,140,115
398,Chilkat,2001,Male,YOY,154,141,113
399,Chilkat,2001,Female,YOY,142,138,101
400,Chilkat,2001,Female,YOY,145,138,110
401,Chilkat,2001,Male,YOY,151,134,114
402,Chilkat,2001,Male,YOY,158,143,117
403,Chilkat,2001,Female,YOY,149,137,106
404,Chilkat,2001,Female,YOY,147,135,116
405,Chilkat,2001,Female,YOY,144,128,108
406,Chilkat,2001,Male,AD,161,152,135
407,Chilkat,2001,Male,YOY,150,140,120
408,Chilkat,2001,Female,YOY,147,136,105
409,Chilkat,2001,Female,YOY,142,129,107
410,Chilkat,2001,Female,AD,147,142,120
411,Chilkat,2001,Male,YOY,152,146,121
412,Chilkat,2001,Male,YOY,149,135,104
413,Chilkat,2001,Female,YOY,144,132,109
414,Chilkat,2001,Female,YOY,135,130,102
415,Chilkat,2001,Female,YOY,145,130,100
416,Chilkat,2001,Male,YOY,159,146,125
417,Chilkat,2001,Male,AD,160,154,132
418,Chilkat,2001,Female,YOY,153,138,117
419,Chilkat,2001,Female,AD,154,146,114
420,Chilkat,2001,Female,AD,147,139,113
421,Chilkat,2001,Male,YOY,155,140,115
422,Chilkat,2001,Male,YOY,154,146,130
423,Chilkat,2001,Male,YOY,158,139,122
424,Chilkat,2001,Male,AD,155,140,136
425,Chilkat,2001,Male,AD,156,146,126
426,Chilkat,2001,Female,YOY,151,151,114
427,Chilkat,2001,Male,YOY,156,147,120
428,Chilkat,2001,Female,AD,149,151,116
429,Chilkat,2001,Male,YOY,142,134,122
430,Chilkat,2001,Female,YOY,148,145,116
